,institution,year,author,title,ENTRYTYPE,ID,file,pages,keywords,journal,urldate,number,language,abstract,doi,url,shorttitle,issn,volume,copyright,type,address,month,publisher,annote,note,pmid,isbn,editor,booktitle,series,link
54,,2020,"Cookson, J. Anthony and Niessner, Marina",Why {Don}'t {We} {Agree}? {Evidence} from a {Social} {Network} of {Investors},article,cookson_why_2020,Snapshot:/Users/Myworld/Zotero/storage/NT4GWS4P/jofi.html:text/html,173--228,,The Journal of Finance,2020-02-15,1,en,"We study sources of investor disagreement using sentiment of investors from a social media investing platform, combined with information on the users' investment approaches (e.g., technical, fundamental). We examine how much of overall disagreement is driven by different information sets versus differential interpretation of information by studying disagreement within and across investment approaches. Overall disagreement is evenly split between both sources of disagreement, but within-group disagreement is more tightly related to trading volume than cross-group disagreement. Although both sources of disagreement are important, our findings suggest that information differences are more important for trading than differences across market approaches.",10.1111/jofi.12852,https://onlinelibrary.wiley.com/doi/abs/10.1111/jofi.12852,Why {Don}'t {We} {Agree}?,1540-6261,75,© 2019 the American Finance Association,,,,,,,,,,,,https://onlinelibrary.wiley.com/doi/abs/10.1111/jofi.12852
55,,2020,"Das, Sreyoshi and Kuhnen, Camelia M and Nagel, Stefan",Socioeconomic status and macroeconomic expectations,article,das2020socioeconomic,,395--432,,The Review of Financial Studies,,1,,,,,,,33,,,,,Oxford University Press,,,,,,,,https://www.nber.org/system/files/working_papers/w24045/w24045.pdf
56,Social Science Research Network,2018,"Mian, Atif R. and Sufi, Amir and Khoshkhou, Nasim","Partisan {Bias}, {Economic} {Expectations}, and {Household} {Spending}",techreport,mian_partisan_2018,Snapshot:/Users/Myworld/Zotero/storage/F48KADZN/papers.html:text/html,,"consumer confidence, consumption, economic, elections, government, news, noise, polarization, policy, sentiment, spending, Trump, voting",,2020-02-15,ID 2620828,en,"The well-documented rise in political polarization among the U.S. electorate over the past 20 years has been accompanied by a substantial increase in the effect of partisan bias on survey-based measures of economic expectations. Individuals have a more optimistic view on future economic conditions when they are more closely affiliated with the party that controls the White House, and this tendency has increased significantly over time. Individuals report a large shift in economic expectations based on partisan affiliation after the 2008 and 2016 elections, but administrative data on spending shows no effect of these shifts on actual household spending.",,https://papers.ssrn.com/abstract=2620828,,,,,{SSRN} {Scholarly} {Paper},"Rochester, NY",April,,,,,,,,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2620828
57,,2018,"Gillitzer, Christian and Prasad, Nalini",The {Effect} of {Consumer} {Sentiment} on {Consumption}: {Cross}-{Sectional} {Evidence} from {Elections},article,gillitzer_effect_2018,Snapshot:/Users/Myworld/Zotero/storage/4WEIJN5X/articles.html:text/html;Submitted Version:/Users/Myworld/Zotero/storage/ZD8VQ2U7/Gillitzer and Prasad - 2018 - The Effect of Consumer Sentiment on Consumption C.pdf:application/pdf,234--269,"Saving, Wealth, Consumer Economics: Empirical Analysis, Political Processes: Rent-seeking, Lobbying, Elections, Legislatures, and Voting Behavior, Expectations, Speculations, Macroeconomics: Consumption",American Economic Journal: Macroeconomics,2020-02-15,4,en,"We seek to identify the causal effect of sentiment innovations on consumption. Using unique Australian consumer sentiment survey data we show that, immediately after elections with a change of government, supporters of the winning party report substantially more optimistic beliefs about economic conditions than supporters of the losing party. We argue that this variation in beliefs is orthogonal to changes in fundamentals and find robust evidence that the shifts in sentiment affect spending intentions. Furthermore, using geographic variation in sentiment, vote-shares and automobile purchases we find evidence that stated spending intentions are indicative of actual spending.",10.1257/mac.20160244,https://www.aeaweb.org/articles?id=10.1257/mac.20160244,The {Effect} of {Consumer} {Sentiment} on {Consumption},1945-7707,10,,,,October,,,,,,,,,https://www.aeaweb.org/articles?id=10.1257/mac.20160244
58,,2008,"Barber, Brad M. and Odean, Terrance",All {That} {Glitters}: {The} {Effect} of {Attention} and {News} on the {Buying} {Behavior} of {Individual} and {Institutional} {Investors},article,barber_all_2008,Snapshot:/Users/Myworld/Zotero/storage/LE43T6NJ/1607197.html:text/html;Submitted Version:/Users/Myworld/Zotero/storage/IRP5BGTI/Barber and Odean - 2008 - All That Glitters The Effect of Attention and New.pdf:application/pdf,785--818,,The Review of Financial Studies,2020-02-15,2,en,"Abstract.  We test and confirm the hypothesis that individual investors are net buyers of attention-grabbing stocks, e.g., stocks in the news, stocks experienci",10.1093/rfs/hhm079,https://academic.oup.com/rfs/article/21/2/785/1607197,All {That} {Glitters},0893-9454,21,,,,April,,,,,,,,,http://faculty.haas.berkeley.edu/odean/papers%20current%20versions/allthatglitters_rfs_2008.pdf
59,Social Science Research Network,2015,"Soo, Cindy",Quantifying {Animal} {Spirits}: {News} {Media} and {Sentiment} in the {Housing} {Market},techreport,soo_quantifying_2015,Snapshot:/Users/Myworld/Zotero/storage/LWVR7KD6/papers.html:text/html,,"Housing Bubble, Housing Sentiment, Irrational Exuberance, Textual Analysis",,2020-02-15,ID 2330392,en,"This paper develops first measures of housing sentiment for 34 cities across the U.S. by quantifying the qualitative tone of local housing news. I find that housing media sentiment has significant predictive power for future house prices, above and beyond his- torically predictive factors and past returns. Sentiment leads price movements by more than two years, and is highly  correlated with available survey expectations measures. The structure of the media sentiment index  itself reflects a backward-looking nature consistent with extrapolative expectations. Consistent  with theories of sentiment, the media sentiment index has a greater effect in markets with more  minority homebuyers, more speculative investors, and across lower-priced homes. Including additional controls for subprime lending and easy credit has no impact on the magnitude of the results, but the predictive effect of sentiment is amplified in markets where more subprime loans were issued. Directly investigating the content across news articles finds that results are not driven by news stories of unobserved fundamentals.",,https://papers.ssrn.com/abstract=2330392,Quantifying {Animal} {Spirits},,,,{SSRN} {Scholarly} {Paper},"Rochester, NY",October,,,,,,,,,https://deepblue.lib.umich.edu/handle/2027.42/99759
60,,2013,"Pfajfar, Damjan and Santoro, Emiliano",News on inflation and the epidemiology of inflation expectations,article,pfajfar2013news,,1045--1067,,"Journal of Money, Credit and Banking",,6,,,,,,,45,,,,,Wiley Online Library,,,,,,,,https://onlinelibrary.wiley.com/doi/abs/10.1111/jmcb.12043
61,,2007,"Tetlock, Paul C",Giving content to investor sentiment: {The} role of media in the stock market,article,tetlock_giving_2007,,1139--1168,,The Journal of finance,,3,,,,,,,62,,,,,,,,,,,,,https://www0.gsb.columbia.edu/mygsb/faculty/research/pubfiles/3097/Tetlock_Media_Sentiment_JF.pdf
62,,2007,"Leskovec, Jure and Adamic, Lada A and Huberman, Bernardo A",The dynamics of viral marketing,article,leskovec_dynamics_2007,,5--es,,ACM Transactions on the Web (TWEB),,1,,,,,,,1,,,,,,,,,,,,,https://www.cs.cmu.edu/~jure/pubs/viral-tweb.pdf
63,,2016,"Burnside, Craig and Eichenbaum, Martin and Rebelo, Sergio",Understanding {Booms} and {Busts} in {Housing} {Markets},article,burnside_understanding_2016,Full Text:/Users/Myworld/Zotero/storage/4NR4HNYS/Burnside et al. - 2016 - Understanding Booms and Busts in Housing Markets.pdf:application/pdf;Snapshot:/Users/Myworld/Zotero/storage/ZKSBCADX/686732.html:text/html,1088--1147,,Journal of Political Economy,2020-02-15,4,,Some booms in housing prices are followed by busts. Others are not. It is generally difficult to find observable fundamentals that are useful for predicting whether a boom will turn into a bust or not. We develop a model consistent with these observations. Agents have heterogeneous expectations about long-run fundamentals but change their views because of “social dynamics.” Agents with tighter priors are more likely to convert others to their beliefs. Boom-bust episodes typically occur when skeptical agents happen to be correct. The booms that are not followed by busts typically occur when optimistic agents happen to be correct.,10.1086/686732,https://www.journals.uchicago.edu/doi/abs/10.1086/686732,,0022-3808,124,,,,August,,,,,,,,,https://www.journals.uchicago.edu/doi/abs/10.1086/686732
64,,2009,"Piazzesi, Monika and Schneider, Martin",Momentum {Traders} in the {Housing} {Market}: {Survey} {Evidence} and a {Search} {Model},article,piazzesi_momentum_2009,Full Text:/Users/Myworld/Zotero/storage/Y54YFAQX/Piazzesi and Schneider - 2009 - Momentum Traders in the Housing Market Survey Evi.pdf:application/pdf;Snapshot:/Users/Myworld/Zotero/storage/XF8CFLQ4/articles.html:text/html,406--411,"and Regional Economics: Housing Demand, Consumer Economics: Empirical Analysis, Housing Supply and Markets, Rural, Urban",American Economic Review,2020-02-15,2,en,,10.1257/aer.99.2.406,https://www.aeaweb.org/articles?id=10.1257/aer.99.2.406,Momentum {Traders} in the {Housing} {Market},0002-8282,99,,,,May,,,,,,,,,https://www.aeaweb.org/articles?id=10.1257/aer.99.2.406
65,,2010,"Goel, Sharad and Hofman, Jake M. and Lahaie, Sébastien and Pennock, David M. and Watts, Duncan J.",Predicting consumer behavior with {Web} search,article,goel_predicting_2010,Full Text PDF:/Users/Myworld/Zotero/storage/HX67XHA7/Goel et al. - 2010 - Predicting consumer behavior with Web search.pdf:application/pdf;Snapshot:/Users/Myworld/Zotero/storage/HKLXTVLZ/17486.html:text/html,17486--17490,"culture, predictions",Proceedings of the National Academy of Sciences,2020-02-24,41,en,"Recent work has demonstrated that Web search volume can “predict the present,” meaning that it can be used to accurately track outcomes such as unemployment levels, auto and home sales, and disease prevalence in near real time. Here we show that what consumers are searching for online can also predict their collective future behavior days or even weeks in advance. Specifically we use search query volume to forecast the opening weekend box-office revenue for feature films, first-month sales of video games, and the rank of songs on the Billboard Hot 100 chart, finding in all cases that search counts are highly predictive of future outcomes. We also find that search counts generally boost the performance of baseline models fit on other publicly available data, where the boost varies from modest to dramatic, depending on the application in question. Finally, we reexamine previous work on tracking flu trends and show that, perhaps surprisingly, the utility of search data relative to a simple autoregressive model is modest. We conclude that in the absence of other data sources, or where small improvements in predictive performance are material, search queries provide a useful guide to the near future.",10.1073/pnas.1005962107,https://www.pnas.org/content/107/41/17486,,"0027-8424, 1091-6490",107,©  . Freely available online through the PNAS open access option.,,,October,,,,20876140,,,,,https://www.pnas.org/content/107/41/17486
66,,1984,"Simon, Herbert A.",On the behavioral and rational foundations of economic dynamics,article,simon_behavioral_1984,ScienceDirect Full Text PDF:/Users/Myworld/Zotero/storage/WSR9W9GH/Simon - 1984 - On the behavioral and rational foundations of econ.pdf:application/pdf;ScienceDirect Snapshot:/Users/Myworld/Zotero/storage/YKAR89RH/0167268184900258.html:text/html,35--55,,Journal of Economic Behavior \& Organization,2020-02-24,1,en,"Existing uncertainties about the correct explanations for economic growth and business cycles cannot be settled by aggregative analysis within the neoclassical framework. Current disputes in theory rest largely on ad hoc, casually empirical, assumptions about departures from perfect rationality under uncertainty. Such disputes can only be settled by painstaking microeconomic empirical study of human decision making and problem solving. Microeconomic research of the kinds that are required can receive powerful guidance from the theories of human thinking that have been developed and tested over the past twenty five years by cognitive psychologists.",10.1016/0167-2681(84)90025-8,http://www.sciencedirect.com/science/article/pii/0167268184900258,,0167-2681,5,,,,March,,,,,,,,A special {Issue} on {The} {Dynamics} of {Market} {Economies} in commemoration of the birth of {Joseph} {A}. {Schumpeter} in 1883,https://econpapers.repec.org/RePEc:eee:jeborg:v:5:y:1984:i:1:p:35-55
67,,2005,"Granovetter, Mark",The {Impact} of {Social} {Structure} on {Economic} {Outcomes},article,granovetter_impact_2005,Granovetter - 2005 - The Impact of Social Structure on Economic Outcome.pdf:/Users/Myworld/Zotero/storage/JL4WWGFU/Granovetter - 2005 - The Impact of Social Structure on Economic Outcome.pdf:application/pdf,33--50,,Journal of Economic Perspectives,2020-02-25,1,en,,10.1257/0895330053147958,http://pubs.aeaweb.org/doi/10.1257/0895330053147958,,0895-3309,19,,,,February,,,,,,,,,https://pubs.aeaweb.org/doi/pdf/10.1257/0895330053147958
68,,1969,"Arrow, Kenneth J.",Classificatory {Notes} on the {Production} and {Transmission} of {Technological} {Knowledge},article,arrow_classificatory_1969,,29--35,,The American Economic Review,2020-02-25,2,,,,https://www.jstor.org/stable/1823650,,0002-8282,59,,,,,,,,,,,,,https://www.jstor.org/stable/1823650
69,Society for Economic Dynamics,2007,"Cahuc, Pierre and Algan, Yann",Social {Attitudes} and {Macroeconomic} {Performance},techreport,cahuc_social_2007,RePEc PDF:/Users/Myworld/Zotero/storage/ZHLBD4VK/Cahuc and Algan - 2007 - Social Attitudes and Macroeconomic Performance.pdf:application/pdf;RePEc Snapshot:/Users/Myworld/Zotero/storage/RTSG54S9/414.html:text/html,,,,2020-02-25,414,,"In this paper we develop a new empirical approach to uncover the causal link from social attitudes to economic development. We first show that social attitudes of second-generation Americans are significantly influenced by the country of origin of their forebears. In the spirit of the epidemiology literature, we interpret this phenomenon as the consequence of a causal effect of inherited social attitudes. This leads us to use the social attitudes of second-generation Americans as an instrument for the social attitudes in the home country of their parents to identify the causal effect of inherited social attitudes on economic development. This strategy allows us to isolate the specific contribution of social attitudes relatively to other traditional candidates, such as invariant institutions or geography, by controlling for country fixed effects. We find that inherited social attitudes had a strong specific causal impact on per capita output and other measures of macroeconomic performance on a sample of 30 countries over the period 1949-2003.",,https://econpapers.repec.org/paper/redsed007/414.htm,,,,,2007 {Meeting} {Paper},,,,,,,,,,,https://ideas.repec.org/p/red/sed007/414.html
70,,2010,"Galeotti, Andrea and Goyal, Sanjeev",The {Law} of the {Few},article,galeotti_law_2010,Full Text PDF:/Users/Myworld/Zotero/storage/XSQXJBVK/Galeotti and Goyal - 2010 - The Law of the Few.pdf:application/pdf;Snapshot:/Users/Myworld/Zotero/storage/AS2NQLBK/articles.html:text/html,1468--1492,"Learning, Economic Anthropology, Social and Economic Stratification, Communication, Information and Knowledge, Belief, Network Formation and Analysis: Theory, Economic Sociology, Search",American Economic Review,2020-02-26,4,en,"Empirical work shows that a large majority of individuals get most of their information from a very small subset of the group, viz., the influencers; moreover, there exist only minor differences between the observable characteristics of the influencers and the others. We refer to these empirical findings as the Law of the Few. This paper develops a model where players personally acquire information and form connections with others to access their information. Every (robust) equilibrium of this model exhibits the law of the few. (JEL D83, D85, Z13)",10.1257/aer.100.4.1468,https://www.aeaweb.org/articles?id=10.1257/aer.100.4.1468,,0002-8282,100,,,,September,,,,,,,,,"https://web.stanford.edu/class/symbsys205/tipping_point.html#:~:text=The%20law%20of%20the%20few%20is%20a%20law%20about%20the,connectors%2C%20mavens%2C%20and%20salesmen."
71,Social Science Research Network,2018,"Akbarpour, Mohammad and Malladi, Suraj and Saberi, Amin",Just a {Few} {Seeds} {More}: {Value} of {Network} {Information} for {Diffusion},techreport,akbarpour_just_2018,Snapshot:/Users/Myworld/Zotero/storage/MQTG2C7L/papers.html:text/html;Submitted Version:/Users/Myworld/Zotero/storage/8HLF365X/Akbarpour et al. - 2018 - Just a Few Seeds More Value of Network Informatio.pdf:application/pdf,,"Diffusion, influence, seeding, social network, word-of-mouth",,2020-02-26,ID 3062830,en,"Identifying the optimal set of individuals to first receive information (`seeds') in a social network is a widely-studied question in many settings, such as the diffusion of information, microfinance programs, and new technologies. Numerous studies have proposed various network-centrality based heuristics to choose seeds in a way that is likely to boost diffusion. Here we show that, for some frequently studied diffusion processes, randomly seeding s plus x individuals can prompt a larger cascade than optimally targeting the best s individuals, for a small x. We prove our results for large classes of random networks, but also show that they hold in simulations over several real-world networks. This suggests that the returns to collecting and analyzing network information to identify the optimal seeds may not be economically significant. Given these findings, practitioners interested in communicating a message to a large number of people may wish to compare the cost of network-based targeting to that of slightly expanding initial outreach.",10.2139/ssrn.3062830,https://papers.ssrn.com/abstract=3062830,Just a {Few} {Seeds} {More},,,,{SSRN} {Scholarly} {Paper},"Rochester, NY",April,,,,,,,,,https://web.stanford.edu/~mohamwad/NetworkSeeding.pdf
72,,2010,"Iyengar, Raghuram and Van den Bulte, Christophe and Valente, Thomas W.",Opinion {Leadership} and {Social} {Contagion} in {New} {Product} {Diffusion},article,iyengar_opinion_2010,Full Text PDF:/Users/Myworld/Zotero/storage/UD9XY2Y9/Iyengar et al. - 2010 - Opinion Leadership and Social Contagion in New Pro.pdf:application/pdf;Snapshot:/Users/Myworld/Zotero/storage/QYJLL2FZ/mksc.1100.html:text/html,195--212,,Marketing Science,2020-02-26,2,,"We study how opinion leadership and social contagion within social networks affect the adoption of a new product. In contrast to earlier studies, we find evidence of contagion operating over network ties, even after controlling for marketing effort and arbitrary systemwide changes. More importantly, we also find that the amount of contagion is moderated by both the recipients' perception of their opinion leadership and the sources' volume of product usage. The other key finding is that sociometric and self-reported measures of leadership are weakly correlated and associated with different kinds of adoption-related behaviors, which suggests that they probably capture different constructs. We discuss the implications of these novel findings for diffusion theory and research and for marketing practice.",10.1287/mksc.1100.0566,https://pubsonline.informs.org/doi/abs/10.1287/mksc.1100.0566,,0732-2399,30,,,,December,,,Publisher: INFORMS,,,,,,https://www.researchgate.net/publication/220659057_Opinion_Leadership_and_Social_Contagion_in_New_Product_Diffusion
73,,2018,"Bloch, Francis and Demange, Gabrielle and Kranton, Rachel",Rumors and {Social} {Networks},article,bloch_rumors_2018,Full Text PDF:/Users/Myworld/Zotero/storage/GJPWYPJV/Bloch et al. - 2018 - Rumors and Social Networks.pdf:application/pdf;Snapshot:/Users/Myworld/Zotero/storage/QPP89PRM/iere.html:text/html,421--448,,International Economic Review,2020-02-26,2,en,"This article studies the transmission of rumors in social networks. We consider a model with biased and unbiased agents. Biased agents want to enforce a specific decision and unbiased agents to match the true state. One agent learns the true state and sends a message to her neighbors, who decide whether or not to transmit it further. We characterize the perfect Bayesian equilibria of the game, show that the social network can act as a filter, and that biased agents may have an incentive to limit their number.",10.1111/iere.12275,https://onlinelibrary.wiley.com/doi/abs/10.1111/iere.12275,,1468-2354,59,© (2018) by the Economics Department of the University of Pennsylvania and the Osaka University Institute of Social and Economic Research Association,,,,,,\_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/iere.12275,,,,,,https://onlinelibrary.wiley.com/doi/abs/10.1111/iere.12275?af=R
74,,2005,"Granovetter, Mark",The {Impact} of {Social} {Structure} on {Economic} {Outcomes},article,granovetter_impact_2005-1,Full Text PDF:/Users/Myworld/Zotero/storage/W7TTEC5Q/Granovetter - 2005 - The Impact of Social Structure on Economic Outcome.pdf:application/pdf;Snapshot:/Users/Myworld/Zotero/storage/3UZ6R72W/articles.html:text/html,33--50,"Economic Anthropology, Social and Economic Stratification, Institutions: Design, Formation, and Operations, Economic Sociology",Journal of Economic Perspectives,2020-02-27,1,en,,10.1257/0895330053147958,https://www.aeaweb.org/articles?id=10.1257/0895330053147958,,0895-3309,19,,,,March,,,,,,,,,https://pubs.aeaweb.org/doi/pdf/10.1257/0895330053147958
75,,1983,"Diamond, Douglas W. and Dybvig, Philip H.","Bank {Runs}, {Deposit} {Insurance}, and {Liquidity}",article,diamond_bank_1983,,401--419,,Journal of Political Economy,2020-02-29,3,,"This paper shows that bank deposit contracts can provide allocations superior to those of exchange markets, offering an explanation of how banks subject to runs can attract deposits. Investors face privately observed risks which lead to a demand for liquidity. Traditional demand deposit contracts which provide liquidity have multiple equilibria, one of which is a bank run. Bank runs in the model cause real economic damage, rather than simply reflecting other problems. Contracts which can prevent runs are studied, and the analysis shows that there are circumstances when government provision of deposit insurance can produce superior contracts.",,https://www.jstor.org/stable/1837095,,0022-3808,91,,,,,,,Publisher: University of Chicago Press,,,,,,https://www.jstor.org/stable/1837095
76,,1999,"Browning, Martin and Hansen, Lars Peter and Heckman, James J.",Chapter 8 {Micro} data and general equilibrium models,incollection,browning_chapter_1999,ScienceDirect Full Text PDF:/Users/Myworld/Zotero/storage/9B6YDD36/Browning et al. - 1999 - Chapter 8 Micro data and general equilibrium model.pdf:application/pdf;ScienceDirect Snapshot:/Users/Myworld/Zotero/storage/XLXBFSLC/S1574004899010113.html:text/html,543--633,"calibration, general equilibrium models, microeconomic evidence, overlapping generations model, stochastic growth model",,2020-02-29,,en,"Dynamic general equilibrium models are required to evaluate policies applied at the national level. To use these models to make quantitative forecasts requires knowledge of an extensive array of parameter values for the economy at large. This essay describes the parameters required for different economic models, assesses the discordance between the macromodels used in policy evaluation and the microeconomic models used to generate the empirical evidence. For concreteness, we focus on two general equilibrium models: the stochastic growth model extended to include some forms of heterogeneity and the overlapping generations model enriched to accommodate human capital formation.",10.1016/S1574-0048(99)01011-3,http://www.sciencedirect.com/science/article/pii/S1574004899010113,,,1,,,,January,Elsevier,,,,,,Handbook of {Macroeconomics},,http://larspeterhansen.org/wp-content/uploads/2016/11/Microdata-and-GE-Models.pdf
77,,1994,"Carroll, Christopher D and Fuhrer, Jeffrey C and Wilcox, David W","Does consumer sentiment forecast household spending? If so, why?",article,carroll1994does,,1397--1408,,The American Economic Review,,5,,,,,,,84,,,,,JSTOR,,,,,,,,https://faculty.smu.edu/millimet/classes/eco6375/papers/carroll%20et%20al%201994.pdf
78,,2019,"Benhabib, Jess and Spiegel, Mark M",Sentiments and economic activity: Evidence from US states,article,benhabib2019sentiments,,715--733,,The Economic Journal,,618,,,,,,,129,,,,,Oxford University Press,,,,,,,,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecoj.12605
79,,2019,"Rantala, Ville",How do investment ideas spread through social interaction? Evidence from a Ponzi scheme,article,rantala2019investment,,2349--2389,,The Journal of Finance,,5,,,,,,,74,,,,,Wiley Online Library,,,,,,,,https://onlinelibrary.wiley.com/doi/abs/10.1111/jofi.12822
80,,2004,"Hong, Harrison and Kubik, Jeffrey D and Stein, Jeremy C",Social interaction and stock-market participation,article,hong2004social,,137--163,,The journal of finance,,1,,"We propose that stock-market participation is influenced by social interaction. In our model, any given “social” investor finds the market more attractive when more of his peers participate. We test this theory using data from the Health and Retirement Study, and find that social households—those who interact with their neighbors, or attend church—are substantially more likely to invest in the market than non-social households, controlling for wealth, race, education, and risk tolerance. Moreover, con- sistent with a peer-effects story, the impact of sociability is stronger in states where stock-market participation rates are higher.
",,,,,59,,,,,Wiley Online Library,,,,,,,,http://www.columbia.edu/~hh2679/jfsocial.pdf
81,,2008,"Brown, Jeffrey R and Ivkovi{\'c}, Zoran and Smith, Paul A and Weisbenner, Scott",Neighbors matter: Causal community effects and stock market participation,article,brown2008neighbors,,1509--1531,,The Journal of Finance,,3,,,,,,,63,,,,,Wiley Online Library,,,,,,,,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1540-6261.2008.01364.x
82,National Bureau of Economic Research,2020,"Bybee, Leland and Kelly, Bryan T and Manela, Asaf and Xiu, Dacheng",The structure of economic news,techreport,bybee2020structure,,,,,,,,,,,,,,,,,,,,,,,,,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3446225
83,,2014,"Azzimonti, Marina",Partisan conflict,article,azzimonti2014partisan,,,,,,,,,,,,,,,,,,FRB of Philadelphia Working Paper,,,,,,,,https://www.nber.org/system/files/working_papers/w24666/w24666.pdf
84,,2020,"Loughran, Tim and McDonald, Bill",Textual Analysis in Finance,article,loughran2020textual,,357--375,,Annual Review of Financial Economics,,,,,,,,,12,,,,,Annual Reviews,,,,,,,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3744667
85,,2019,"Calomiris, Charles W and Mamaysky, Harry",How news and its context drive risk and returns around the world,article,calomiris2019news,,299--336,,Journal of Financial Economics,,2,,,,,,,133,,,,,Elsevier,,,,,,,,https://www8.gsb.columbia.edu/researcharchive/articles/22335
86,,2020,"Makridis, Christos and Wang, Tao",Learning from Friends in a Pandemic: Social Networks and the Macroeconomic Response of Consumption,article,makridis2020learning,,,,Available at SSRN 3601500,,,,,,,,,,,,,,,,,,,,,,https://voxeu.org/article/social-networks-and-consumption-patterns-during-pandemic
87,,2020,"Eliaz, Kfir and Spiegler, Ran",A model of competing narratives,article,eliaz2020model,,3786--3816,,American Economic Review,,12,,,,,,,110,,,,,,,,,,,,,https://www.tau.ac.il/~rani/narratives.pdf
88,,2019,"Hassan, Tarek A and Hollander, Stephan and van Lent, Laurence and Tahoun, Ahmed",Firm-level political risk: Measurement and effects,article,hassan2019firm,,2135--2202,,The Quarterly Journal of Economics,,4,,,,,,,134,,,,,Oxford University Press,,,,,,,,https://www.bu.edu/econ/files/2019/05/Firm-levelPoliticalRisk.pdf
89,,2014,"Siganos, Antonios and Vagenas-Nanos, Evangelos and Verwijmeren, Patrick",Facebook's daily sentiment and international stock markets,article,siganos2014facebook,,730--743,,Journal of Economic Behavior \& Organization,,,,,,,,,107,,,,,Elsevier,,,,,,,,https://www.researchgate.net/publication/263582812_Facebook's_daily_sentiment_and_international_stock_markets
90,,2017,"Manela, Asaf and Moreira, Alan",News implied volatility and disaster concerns,article,manela2017news,,137--162,,Journal of Financial Economics,,1,,,,,,,123,,,,,Elsevier,,,,,,,,http://apps.olin.wustl.edu/faculty/manela/mm/nvix/nvix.pdf
91,,2017,"Allcott, Hunt and Gentzkow, Matthew",Social media and fake news in the 2016 election,article,allcott2017social,,211--36,,Journal of economic perspectives,,2,,,,,,,31,,,,,,,,,,,,,https://web.stanford.edu/~gentzkow/research/fakenews.pdf
92,,2012,"Dougal, Casey and Engelberg, Joseph and Garcia, Diego and Parsons, Christopher A",Journalists and the stock market,article,dougal2012journalists,,639--679,,The Review of Financial Studies,,3,,,,,,,25,,,,,Oxford University Press,,,,,,,,https://www.researchgate.net/publication/227465410_Journalists_and_the_Stock_Market
93,,2015,"Ahern, Kenneth R and Sosyura, Denis",Rumor has it: Sensationalism in financial media,article,ahern2015rumor,,2050--2093,,The Review of Financial Studies,,7,,,,,,,28,,,,,Oxford University Press,,,,,,,,https://www.public.asu.edu/~dsosyura/ResearchPapers/Rumor%20Has%20It%20--%20Sensationalism%20in%20Financial%20Media.pdf
94,,2014,"Lamla, Michael J and Lein, Sarah M",The role of media for consumers’ inflation expectation formation,article,lamla2014role,,62--77,,Journal of Economic Behavior \& Organization,,,,,,,,,106,,,,,Elsevier,,,,,,,,http://www.sarah-lein.ch/pdfs/inflationexpectations.pdf
95,,2011,"Berger, Helge and Ehrmann, Michael and Fratzscher, Marcel",Monetary policy in the media,article,berger2011monetary,,689--709,,"Journal of Money, Credit and Banking",,4,,,,,,,43,,,,,Wiley Online Library,,,,,,,,https://www.tcd.ie/Economics/staff/waltis/EC2010/ec2010_ps5ans.pdf
96,National Bureau of Economic Research,2018,"Gorodnichenko, Yuriy and Pham, Tho and Talavera, Oleksandr","Social media, sentiment and public opinions: Evidence from\# Brexit and\# USElection",techreport,gorodnichenko2018social,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nber.org/papers/w24631
97,,2015,"Soroka, Stuart N and Stecula, Dominik A and Wlezien, Christopher","It's (change in) the (future) economy, stupid: economic indicators, the media, and public opinion",article,soroka2015s,,457--474,,American Journal of Political Science,,2,,,,,,,59,,,,,Wiley Online Library,,,,,,,,https://onlinelibrary.wiley.com/doi/abs/10.1111/ajps.12145
98,,2019,"Grinberg, Nir and Joseph, Kenneth and Friedland, Lisa and Swire-Thompson, Briony and Lazer, David",Fake news on Twitter during the 2016 US presidential election,article,grinberg2019fake,,374--378,,Science,,6425,,,,,,,363,,,,,American Association for the Advancement of Science,,,,,,,,https://www.nature.com/articles/s41467-018-07761-2
99,,2015,"Bakshy, Eytan and Messing, Solomon and Adamic, Lada A",Exposure to ideologically diverse news and opinion on Facebook,article,bakshy2015exposure,,1130--1132,,Science,,6239,,,,,,,348,,,,,American Association for the Advancement of Science,,,,,,,,https://education.biu.ac.il/files/education/shared/science-2015-bakshy-1130-2.pdf
100,,2012,"Bond, Robert M and Fariss, Christopher J and Jones, Jason J and Kramer, Adam DI and Marlow, Cameron and Settle, Jaime E and Fowler, James H",A 61-million-person experiment in social influence and political mobilization,article,bond201261,,295--298,,Nature,,7415,,,,,,,489,,,,,Nature Publishing Group,,,,,,,,https://www.researchgate.net/publication/230841708_A_61-Million-Person_Experiment_in_Social_Influence_and_Political_Mobilization
101,National Bureau of Economic Research,2012,"Fogli, Alessandra and Veldkamp, Laura","Germs, social networks and growth",techreport,fogli2012germs,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.minneapolisfed.org/research/sr/sr572.pdf
